Yeast Gene,Arabidopsis thaliana,Neocallimastix frontalis,Glomus intraradices,Schizosaccharomyces pombe,Saccharomyces cerevisiae,Yarrowia lipolytica,Neurospora crassa,Ustilago maydis,Candida albicans,Schistosoma mansoni,Caenorhabditis elegans,Aedes aegypti,Drosophila melanogaster,Strongylocentrotus purpuratus,Ciona intestinalis,Danio rerio,Xenopus laevis,Gallus gallus,Macaca mulatta,Pan troglodytes,Homo sapiens,Canis lupus familiaris,Oryctolagus cuniculus,Mus musculus,Rattus norvegicus,
Q12030,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12676,,,,"Q9UTD0","P36001;Q12676","Q6CHD4","Q9HEK9",,"Q59S44",,,,,,,,,,,,,,,,,
P38115,,,,,"P38115",,,,,,,,,,,,,,,,,,,,,
P32526,,,,,"P32526",,,,,,,,,,,,,,,,,,,,,
Q03631,,,,"O59830","P53749;P52960;P36023;Q03631",,"Q7SFY4",,,,,,,,,,,,,,,,,,,
P54999,,,,"O59734","P54999","Q6CHS5","Q9P5Z8",,,,,,,,,,,,,,,,,,,
P41939,,,,,"P53982;P41939",,,,,,,,,,,,,,,,,,,,,
Q3E7B3,,,,,,,,,,,,,,,,,,,,,,,,,,
P15891,,,,"Q9P7E8","P15891","Q6CEP4","Q7S016","Q4P3H3","Q5AFA8;Q9P837",,,,,,,,,,,,,,,,,
P25627,"Q9LVD0",,,"Q10162","P25627","Q6C2M9","Q7SFV3","Q4PEB2","Q5A1M9",,"Q18257","Q16RH3","Q9VHW6",,,"A3KNP4","Q6DKM3","Q5ZI10",,,"Q75ME3;O43709;A8K501",,,"Q9D1L3;Q9DCT4;Q148T0;Q9CV98;Q148S9;Q9CY21","B1H275",
Q06817,"O23627",,,"Q10179","Q06817;P38088",,"Q7RYQ5",,,,,,"Q961R8",,,,,,,,,,,"Q9CZD3",,
Q06208,,,,,,,,,,,,,,,,,,,,,,,,,,
P25623,,,,,,,,,,,,,,,,,,,,,,,,,,
P17079,"P50883;Q9FF52;Q9LFH5",,,"O75000","P17079","Q6C955","Q9C285","Q4PBV4","Q5AJF7",,,,,,,,,,,,,,,,,
P18634,,,,,,,,,,,,,,,,,,,,,,,,,,
P25604,"Q9LHG8;Q9FFY6",,,,"P25604","Q873M7;Q6C148","Q7S4R9","Q4PAN2","Q59WF8",,,,,,,,,,,,,,,,,
P32801,,,,,,,,,,,,,,,,,,,,,,,,,,
P53097,,,,,,,,,,,,,,,,,,,,,,,,,,
Q03921,,,,,,,,,,,,,,,,,,,,,,,,,,
P25644,,,,,"P25644",,,,,,,,,,,,,,,,,,,,,
P0C2J7,,,,,,,,,,,,,,,,,,,,,,,,,,
P38066,,,,"Q9P7M9","P38066","Q6C7A9","Q871B3","Q4P4Y7","Q5A1Y2",,,,,,,,,,,,,,,,,
P47171,,,,,"P47171",,,,,,,,,,,,,,,,,,,,,
P52917,,,,"Q09803","P52917","Q6CEE2","Q7S0H4","Q4PDZ4","Q5AG40;Q5AGH7",,,,,,,"Q08BZ6",,"Q5ZIQ2",,,,,,,,
P46961,"O64761",,,"O59802","P46961","Q6CEN8",,,"Q5A6L6",,"O01259","Q16PB0","Q9VZR1",,,"Q6NUU9","Q5U5A0",,,,"Q92535",,,"Q3U1G9;Q3TDK1;Q9CXR4","Q5PQQ4",
P53054,,,,,,,,,,,,,,,,,,,,,,,,,,
P39721,,,,,,,,,,,,,,,,,,,,,,,,,,
Q00055,,,,"P21696;Q09845","P41911;Q00055","Q9UVF4","Q7SED6",,"Q8NKG1",,,,,,,,,,,,,,,,,
Q00873,,,,"O13962","Q00873","Q6C6U2","Q7S3Z2","Q4P5B1","Q5AMR8",,,,,,,,,,,,,,,,,
P33314,,,,,"P33314","Q6C802","Q7RW81",,"Q5A506",,,,,,,,,,,,,,,,,
P12630,,,,,"P53379;Q12303;P40583;P12630",,,,,,,,,,,,,,,,,,,,,
Q03758,,,,,"Q03758",,,,,,,,,,,,,,,,,,,,,
P32909,,,,,"P32909",,,,,,,,,,,,,,,,,,,,,
P11325,"Q9XEA0",,,"Q09828","P11325",,"P15181",,"Q9C1C3",,"Q23511;Q7YSW0",,"Q9VZ82",,,,"P87388;Q6GQ13","P49140",,,"P12755;Q9Y6N6;Q15031",,,"Q8VDC0;Q14DP3",,
P21734,"Q9FI61",,,"O74810","P21734","Q6C353","Q9P725","Q4PH88","Q59QX4;Q59R00",,"P52484;Q9TZ69",,"P52486",,,,"Q8AVM8",,,,"P61086",,,"P61087",,
P10659,,,,"O60198","P19358;P10659",,"P48466",,"Q59W67",,"O17680;Q8I4F2;Q27522",,,,,,,,,,,,,,,
P53721,,,,,"P53721",,,,,,,,,,,,,,,,,,,,,
P35184,,,,,,,,,,,,,,,,,,,,,,,,,,
P36421,,,,"O14055","P36421","Q6CBV3",,,"Q5AFB3",,,"Q17MF1","Q9VV60",,,,"Q7ZX51",,,,,,,,,
P28321,,,,"O94305","P28321",,"Q871R9",,"Q5AH37;Q5AIL6",,,,,,,,,,,,,,,,,
P46958,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8TGU8,,,,,,,,,,,,,,,,,,,,,,,,,,
P07246,,,,,"P07246",,,,,,,,,,,,,,,,,,,,,
P50091,,,,,"P50091",,,,,,,,,,,,,,,,,,,,,
P53318,"Q9LRM9",,,"Q9Y7Z9","P53318","Q6H9P2","Q7SHS8",,"Q5AHZ4",,"O01884","Q0IFQ5","Q9VMQ5",,,"Q0P462","Q4QQX3",,,,"Q53GG6;Q9Y2Z9",,,"Q3TJM2;Q80V13;Q8BJY5;Q8R1S0","Q68FU7",
P06776,,,,,"P06776","Q6CHK1","Q7RXW7",,"Q8NJP9;O94034;Q5AI81",,,,,,,,,,,,,,,,,
P04037,,,,"P79010","P04037","Q6C5A3","P06809","Q4P511",,,,,,,,,,,,,,,,,,
P50944,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04081,"Q3EDL0",,,"O94257","Q04081","Q6C997","Q7SAP7","Q4P4G2",,,"P46554",,"Q9V3K7",,,"Q66L53","Q4QR46",,,,"Q9UIC8",,,,"Q6P4Z6",
Q3E7A9,,,,,"Q3E7A9","Q6C4R1",,"Q4P7X5",,,,,,,,,,,,,,,,,,
P16451,,,,"O94709","P16451;Q6B1U7","Q6CF67","Q7RWS2","Q4PHZ8","Q5AKV6",,,,,,,,,,,,,,,,,
P40578,,,,,"P40578;P35210","Q6CEW6",,,,,,,,,,,,,,,"O75762",,,,,
Q04215,,,,,"Q92392;O74302;Q12217;Q12391;Q12266;Q12485;Q12085;O13528;Q04215;Q12162;P47097;Q99209;P47099;Q12441;Q03856;Q04706;Q6Q5H1;Q12470;Q12231;Q03964;P08405",,,,,,,,,,,,,,,,,,,,,
P25358,,,,,"P25358",,,,"Q59PF0",,,,,,,,,,,,,,,,,
Q04344,,,,"O94586","Q04344",,"Q7S3H7","Q4P1K9",,,,,,,,,,,,,,,,,,
P41277,,,,,"P41277;P40106",,,,,,,,,,,,,,,,,,,"Q3UFY0",,
Q2V2P5,,,,"Q9USW6","Q2V2P5","Q6CFN0","Q7RX83",,,,,,,,,,,,,,,,,,,
P52868,,,,,"P52868",,,,,,,,,,,,,,,,,,,,,
P47025,,,,,"P47025",,,,,,,,,,,,,,,,,,,,,
P0C2I0,,,,"P05732","P0C2I0","Q6C0J5",,,"Q5AN19",,,"Q16T99;Q16SN2;Q17BT1;Q16RU9;Q16YS9;Q174U2;Q0IFJ6",,,,,,,,,"Q32XH3",,,"Q05CK2",,
Q06089,,,,,,,,,,,,,,,,,,,,,,,,,,
P32896,,,,"P49777;O60108;O14423","P32896;P87013",,"Q7S9S3",,"Q5APU5;O60035;Q5APA1",,,,,,,,,,,,,,,,,
Q3E750,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12345,,,,,,,,,,,,,,,,,,,,,,,,,,
P32623,"Q8H7F8;P43082",,,,"P32623","Q6CEH8","Q7SBQ2",,"Q5AJC0",,,,,,,,,,,,,,,,,
P18961,,,,"Q9P7J8","P12688;P18961",,,,,,,,,,,,,,,,,,,,,
Q08930,,,,,,,,,,,,,,,,,,,,,,,,,,
P09950,,,,"O14092","Q66RF3;P09950","Q6CCW0","Q7RVY5","Q4P4A4","Q5A965;Q5A9G7;O94069",,,,"Q8T4G6;O18680",,,,,,,,"Q5JZF5",,,,,
P53870,,,,,"P53870",,,,"Q59W38;Q59W77",,,,,,,,,,,,,,,,,
P07347,,,,"Q9UTI3","P07347","Q6CFM0","Q871J7",,"Q5ACM5",,,,,,,,,,,,,,,,,
P25586,"Q8LBT7;Q9FT93",,,"O74777","P25586","Q6BZW4","Q7S995","Q4P9H2","Q59W63",,,,,,,,,,,,,,,,,
Q00816,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04005,,,,,,,,,,,,,,,,,,,,,,,,,,
P56508,,,,,"P56508",,,,,,,,,,,,,,,,,,,,,
P32915,,,,"P79088","P32915","P78979","Q870W0","Q4P3X5","Q59MJ6;Q9P8E3",,,,,,,,,,,,,,,,,
Q12282,,,,,,,,,,,,,,,,,,,,,,,,,,
P47075,,,,"P78810","P47075","Q6CCB1","Q7SCX0",,"Q59PH5",,,,,,,,,,,,,,,,,
P61830,,,,,"P61830","Q6C0C4",,,,,,,,,,,,,,,,,,,,
P38346,,,,,"P38346",,,,,,,,,,,,,,,,,,,,,
Q04233,,,,,,,,,,,,,,,,,,,,,,,,,,
P40533,,,,,"P40533",,,,"Q5A7P8",,,,,,,,,,,,,,,,,
P38272,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04116,,,,,"Q04116;P34161",,,,"Q5AFQ1",,,,,,,,,,,,,,,,,
P40476,,,,,,,,,,,,,,,,,,,,,,,,,,
P40985,,,,"O94275","P40985","Q6C901","Q873C0",,"Q5ANK9",,,,,,,,,,,,"Q5U5R9",,,"Q8CDU6",,
Q04869,,,,,"Q04869",,,,,,,,,,,,,,,,,,,,,
P38121,,,,,"P38121",,"Q8X0K1","Q4PBF6","Q59PU7",,,,,,,,,,,,,,,,,
P38042,,,,,"P38042",,"Q7RXL4",,"Q5A8G3;Q5A897",,,,,,,,,"Q5ZK91",,,"P30260",,,,,
Q06892,,,,"Q9UT98","Q06892","Q6C5H7","Q7S0V0","Q4P5S4","Q5ADP1",,,,,,,,,,,,,,,,,
P47041,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04969,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12335,"O81830",,,"P30821","P25349;Q12335",,,,,,,,,,,,,,,,,,,,,
P32465,,,,,"P32465;P32466",,,,,,,,,,,,,,,,,,,,,
P39533,,,,"Q9P7D4","P39533","Q6C5V2","Q9HEA5","Q4PB22","Q59PT2",,,,,,,,,,,,,,,,,
P53972,,,,"O14039","P53972",,,,,,"Q9NAA7",,"Q9VDZ4",,,"Q7SXM8;Q6NZ28",,,,,"Q96P11",,,"Q8K4F6",,
P09201,,,,"P09202","P09201",,"Q7S6N8",,"Q9UUZ0;Q9P8Q4",,,,,,,,,,,,,,,,,
Q12025,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12382,,,,,,,,,,,,,,,,,,,,,,,,,,
P25502,,,,"Q9C469","P25502","Q6CFH8",,,"Q5AAV6",,,,,,,,,,,,,,,,,
Q06178,,,,"Q9UT53","P53204;Q06178",,,,,,,,,,,,,,,,,,,,,
Q12188,,,,,,,,,,,,,,,,,,,,,,,,,,
P22696,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02100,,,,,"Q02100",,,,,,,,,,,,,,,,,,,,,
P52924,,,,,,,,,,,,,,,,,,,,,,,,,,
P51996,,,,,"P51996;P38555",,,,,,,,,,,,,,,,,,,,,
Q07914,,,,"Q9UT37","Q07914","Q6CEU0","Q7RX75",,,,,,,,,,,,,,,,,,,
P43543,,,,,"P43543",,,,"Q5ALX7",,,,,,,,,,,,,,,,,
Q04093,,,,,,,,,,,,,,,,,,,,,,,,,,
P22354,,,,"O94723","P22354","Q6CF94","Q8NIR6",,"Q59QT4",,,,,,,,,,,,,,,,,
Q03818,,,,,"Q03818",,,,,,,,,,,,,,,,,,,,,
Q01919,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12260,,,,,,,,,,,,,,,,,,,,,,,,,,
P0C0T4,,,,"O74172;P79009","P0C0T4;Q3E792","Q6CD45","Q7SC06",,,,,,,,,,,,,,,,,,,
Q06506,,,,,,,,,,,,,,,,,,,,,,,,,,
P48360,"Q8W3L1;Q93ZJ7",,,"O59710","P48360","Q6CEL0","Q7SAN6","Q4PFS4","Q59QA8","Q8MTY0","Q9U1X0","Q174X5;Q563C8","Q9V3T9;Q8IGW0;Q95RP7",,,,"Q5XGT9",,,,"Q6GSK2;P22570",,,"Q61578;Q3UZ58;Q6PG98;A2A6S3;Q6IQY0","P56522",
P06777,"Q9LKI5",,,"P36617","P06777","Q6CDP9","Q7RW07;O74126","Q4P9M3","Q5A5T2",,"Q18671","Q17J54","Q24087",,,,"Q6DFB2",,,,"Q92889",,,"Q9QZD4",,
P51601,,,,"O13774","P51601","Q6CHC2","P51599",,"Q5AK63",,,,,,,,,,,,,,,,,
P40072,,,,,"P40072",,,,,,,,,,,,,,,,,,,,,
Q06682,,,,"O14048","Q06682","Q6C2H5","Q7SFV8",,"Q59WE0",,,,,,,,,,,,,,,,,
P07253,,,,,,,,,,,,,,,,,,,,,,,,,,
P40963,"Q9FLF7",,,,"P40963","Q6C7N8",,,"Q5ACY2",,,,"Q8IPQ9",,,,,,,,,,,,,
Q03653,,,,,,,,,,,,,,,,,,,,,,,,,,
P50079,,,,,"P50079",,,,,,,,,,,,,,,,,,,,,
Q12405,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08702,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04231,,,,,"Q04231",,,,,,,,,,,,,,,,,,,,,
P53125,,,,,"P53125",,,,,,,,,,,,,,,,,,,,,
P43596,,,,,"P43596",,,,,,,,,,,,,,,,,,,,,
P50111,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12000,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04500,,,,"P87137","Q04500","Q6C974","Q7S5V9",,"Q5ACU0",,,,,,,,,,,,,,,,,
Q08337,,,,,,,,,,,,,,,,,,,,,,,,,,
P53154,"Q8RY80",,,,"P53154","Q6C428",,,"Q5AKZ2",,,,,,,,,,,,,,,,,
Q03266,,,,,,,,,,,,,,,,,,,,,,,,,,
P16120,,,,"Q42598","Q66RI3;P16120","Q6C0N3","Q8X0K4","Q4P6C2","Q5AGE6",,,,,,,,,,,,,,,,,
Q04322,,,,,,,,,,,,,,,,,,,,,,,,,,
P00912,"Q9SPW0;Q9SPW1;Q6UYC0;Q9SPV9;Q9SPV8;Q42528;Q42527;Q39246;Q39245;Q9SPV7;Q42440;Q9FFF7;Q7G9J9;Q9S731",,,"Q92370","P00912","Q8X1D9",,,"Q5AB75;P43073",,,,,,,,,,,,,,,,,
P40034,,,,,"P40034",,,,,,,,,,,,,,,,,,,,,
P47144,,,,,"P47144","Q6C1A1",,,,,,,,,,,,,,,,,,,,
P53322,,,,,,,,,,,,,,,,,,,,,,,,,,
P38839,,,,,,,,,,,,,,,,,,,,,,,,,,
P53934,"Q9SKY4",,,"Q9Y7J3","P53934","Q6C9Z0",,,,,"O62483",,,,,,"Q4V7I9",,,,"Q8N4J0",,,"Q80UY1","Q5BJZ6",
P22219,"Q9M0E5",,,"O42900","P22219","Q6C3L7","Q7S9P0",,,,"Q23669",,"Q9VHH2",,,,,,,,"Q99570",,,,,
P53334,,,,,"P53334",,,,,,,,,,,,,,,,,,,,,
Q08990,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12363,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6B2C0,,,,,,,,,,,,,,,,,,,,,,,,,,
P53756,,,,,,,,,,,,,,,,,,,,,,,,,,
P14284,,,,"Q9P6L6","P14284","Q6CB61","Q27Q97","Q4PD82",,,,,"Q95TM2",,,,,,,,,,,,,
Q08422,,,,,,,,,,,,,,,,,,,,,,,,,,
P38202,,,,"Q96WW3","P38202",,,"Q4PAK2","Q5ANJ6",,,,,,,,,,,,,,,,,
P40917,,,,,"P40917",,,,,,,,,,,,,,,,,,,,,
Q05827,,,,,,,,,,,,,,,,,,,,,,,,,,
P39525,"Q8L3X9",,,"O94297","P39525","Q6BZV1","Q7RVN4;O13355",,,,,"Q17J59","Q8IGI4;Q9VNF5",,,,,,,,"Q9NWU1",,,"Q9D404;Q148P2",,
P23595,,,,,"P23595;P23594","Q96X25;Q6CI78",,,,,,,,,,,,,,,,,,,,
Q3E751,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12051,,,,,"Q12051",,,,,,,,,,,,,,,,,,,,,
Q04491,,,,"O94319","Q04491","Q6BZX5","Q7RZF5","Q4PCB8",,,,,,,,,,,,,,,,,,
P53878,,,,"O13822","P53878","Q6CA42","Q7S9T7",,"Q5AB16;Q5AAS7",,,,,,,,,,,,,,,,,
P14126,,,,"P36584;P40372","P14126","Q6CB65","P59671","Q4P7R7","Q59LS1",,,,,,,,,,,,,,,,,
Q06346,,,,,,,,,,,,,,,,,,,,,,,,,,
P16661,,,,"O13933","P16661","Q6C3K2","Q7S954",,,,,,,,,,,,,,,,,,,
P39517,,,,"Q09181","P39517","Q6C0X2","Q7S5D9","Q4P984","Q5AAW3",,,,,,,,,,,,,,,,,
P34239,,,,,,,,,,,,,,,,,,,,,,,,,,
P40106,,,,,"P41277;P40106",,,,,,,,,,,,,,,,,,,,,
Q2V2P8,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02773,,,,,,,,,,,,,,,,,,,,,,,,,,
P53983,,,,,"P53983",,,,"Q5A324",,,,,,,,,,,,,,,,,
Q02786,,,,,,,,,,,,,,,,,,,,,,,,,,
