E. coli K12 gene,"Pseudomonas aeruginosa","Pseudomonas fluorescens","Salmonella typhimurium","Yersinia pestis","Vibrio cholerae","Vibrio fischeri ES114","Vibrio fischeri MJ11","Haemophilus influenzae","Rickettsia prowazekii","Helicobacter pylori","Staphylococcus aureus","Bacillus subtilis","Bacillus anthracis","Streptococcus pneumoniae","Deinococcus radiodurans","Chlamydia trachomatis","Chlamydophila pneumoniae","Aquifex aeolicus","Thermotoga maritima","Mycobacterium tuberculosis","Nocardia farcinica","Streptomyces coelicolor","Borrelia burgdorferi","Treponema pallidum","Mycoplasma genitalium","Mycoplasma pneumoniae","Sulfolobus solfataricus","Aeropyrum pernix","Halobacterium salinarum","Pyrococcus furiosus"""
ACRB_ECOLI,,,"Q8ZLN4;Q8ZRA7;P96066","Q7CK16;NP_406608;16123295",,,,,,,,,,,,,,,,,,,,,,,,,,
ACRD_ECOLI,,,"Q8ZN77","16123220;Q74SE6",,,,,,,,,,,,,,,,,,,,,,,,,,
ACRE_ECOLI,,,"Q8ZLN5",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRF_ECOLI,,,"Q8ZLN4",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRR_ECOLI,"Q9HY46","Q6V6Y0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSA_ECOLI,"Q9I558",,"Q8ZKF6","Q8D1G8","Q9KV59",,,,,,,,,,,,,,,,,,,,,,,,,
ADA_ECOLI,"Q9I1Z7",,"279476;P26189","16120423",,,,,,,,,,,,,,,,,,,,,,,,,,
ADD_ECOLI,,,"Q8ZPL9",,"Q9KNI7",,,,,,,,,,,,,,,,,,,,,,,,,
ADEC_ECOLI,,,,,,,,,,,,"P39761",,,,,,,,,,,,,,,,,,
ADH2_ECOLI,,,,,,"Q5E5L3",,,,,,,,,,,,,,,,,,,,,,,,
ADIA_ECOLI,,,"Q8ZKE3",,,,,,,,,,,,,,,,,,,,,,,,,,,
ADIY_ECOLI,,,"Q8ZKE4",,,,,,,,,,,,,,,,,,,,,,,,,,,
ADPP_ECOLI,,,,"16120989",,,,"P44684",,,,,,,,,,,,,,,,,,,,,,
AEGA_ECOLI,,,"Q8ZN79","Q8D1E7",,,,,,,,,,,,,,,,,,,,,,,,,,
AER_ECOLI,,,"Q8ZLX8",,,,,,,,,,,,,,,,,,,,,,,,,,,
AES_ECOLI,,,"Q8ZRA1",,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAA_ECOLI,,,,,"CAA13150",,,,,,,,,,,,,,,,,,,,,,,,,
AGAS_ECOLI,,,,"16121141",,"Q5DYS2",,,,,,,,"Q97T85",,,,,"Q9WZS0",,,"O50523",,,,,,,,"Q8U3U3"""
AGP_ECOLI,,,"O33921;AAC45604",,,,,,,,,,,,,,,,,,,,,,,,,,,
AHPF_ECOLI,"Q9I6Z2",,"P19480",,,,,,,,,"P42974","Q81ZC5",,,,,,,,,,,,,,,,,
AIDB_ECOLI,,,"Q8ZK94","Q8D1E1",,,,,,,,,,,,,,,,,,,,,,,,,,
AIS_ECOLI,,,"Q8ZNF4",,,,,,,,,,,,,,,,,,,,,,,,,,,
AK1H_ECOLI,,,"Q8ZS19","Q8CZP2;Q74Q04;16120788","Q9KPK3","Q5E2Y3",,"P44505",,,,,,,,,,,,,,,,,,,,,,
AK2H_ECOLI,,,"Q8ZKN4","16120461","Q9KNP7","Q5E2I5",,,,,,,,,,,,,,,,,,,,,,,,
AK3_ECOLI,,,"Q8ZKI5",,"Q9KUW8","Q5E813",,,,,,,,,,"O84367","Q9Z6L0",,,,,,,,,,,,,
ALDA_ECOLI,,,,,,,,,,,,,,,,,,,,,,"Q9RKF1",,,,,,,,
ALDB_ECOLI,,,"Q8ZL72",,,,,,,,,,,,,,,,,,,,,,,,,,,
ALKB_ECOLI,,,"P37462",,,,,,,,,,,,,,,,,,,,,,,,,,,
ALKH_ECOLI,"Q9HZ93",,"Q8ZNW4","16122306;Q7CIC5",,"Q5E8R1",,,,"O25729",,,,,,,,,,,,,,,,,,,,
ALLA_ECOLI,"Q9I3J9",,"Q8ZR87",,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLB_ECOLI,,,,,,,,,,,,"O32137",,,"Q9RV76",,,,,,,"Q9RKU5",,,,,,,,
ALLC_ECOLI,,,"Q8ZR77",,,,,,,,,"O32149",,,,,,,,,,,,,,,,,,
ALLD_ECOLI,,,"Q8ZR76",,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLP_ECOLI,,,"Q8ZR80",,,,,,,,,,,,,,,,,,,,,,,,,,,
ALR1_ECOLI,,,,"Q8ZJ10","Q9KUY6",,,"P45257",,,,,,,,,,,,,,,,,,,,,,
ALR2_ECOLI,,,"P06191",,,,,,,,,,,,,,,,,,,,,,,,,,,
ALSE_ECOLI,,,,,,,,,,,,,,"Q97PJ6",,,,,,,,,,,,,,,,
ALX_ECOLI,,,"Q8ZLX2",,"Q9KM43","Q5E0U8",,,"O05976",,,,,,,,,,,,,,,,,,,,,
AMIA_ECOLI,,,"P33772",,,,,,,,,,,,,,,"O67592",,,,,,,,,,,,
AMIB_ECOLI,,,"P26366","Q8D1E3;16120705","Q9KV14","Q5E2C5",,"P44493",,,,,,,,,,,,,,,,,,,,,,
AMID_ECOLI,"Q9HT86",,"Q8ZQF3",,,,,,,,,,,,,,,,,,,,,,,,,,,
AMN_ECOLI,"Q9HX46",,"Q8ZNS0","Q8D0H8",,,,,,,,,,,,,,,,,,,,,,,,,,
AMPA_ECOLI,"O68822",,"Q8ZK29","Q8ZBH3","P0C6E1","Q5E7T8",,"P45334",,,,,,,,,,,,,,,,,,,,,,
AMPD_ECOLI,"Q45UD7;Q9ZGA0",,"P30013",,"Q9KPE7","Q5E2R8",,"P44624",,,,,,,,,,,,,,,,,,,,,,
AMPE_ECOLI,,,"Q9L4I3",,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPM_ECOLI,"Q9HXY1",,"P0A1X6","Q7CH15;16121343","Q9KPV1",,,"P44421",,,,,,,,,,,,,,,,,,,,,,
AMPN_ECOLI,"Q9HZC5",,"Q8ZQ76",,"Q9KRY9","Q5E5B9",,"P45274",,,,,,,,,,,,,,,,,,,,,,
AMPP_ECOLI,,,"Q8ZM72","16121215",,,,"P44881",,,,,,,,,,,,,,,,,,,,,,
AMTB_ECOLI,,,"Q7CR19",,,,,,,,,,,,,,,,,,,,,,,,,,,
AMY1_ECOLI,,,"Q8ZL87","Q7CFP2;16124191;Q74PC8",,,,,,,,,,,,,,,,,,,,,,,,,,
AMY2_ECOLI,,,"P26613;477672",,,,,,,,,,,,,,,,,,,,,,,,,,,
ANMK_ECOLI,"Q9I5Q5",,"Q8ZPN1",,"Q9KU38","Q5E084",,"P44861",,,,,,,,,,,,,,,,,,,,,,
ANSP_ECOLI,,,"P40812","Q9ZC47;Q0WFL2",,,,,,,,,,,,,,,,,,,,,,,,,,
APAH_ECOLI,"Q9I5U7",,,"Q8ZIK7","Q9KUS4","Q5E866",,"P44751",,,,,,,,,,,,,,,,,,,,,,
APBE_ECOLI,,,"P41780",,,,,,,,,,,,,,,,,,,,,,,,,,,
APPC_ECOLI,,,"Q8ZP24",,,,,,,,,,,,,,,,,,,,,,,,,,,
APT_ECOLI,"Q04633",,"Q8ZRA2","Q8ZC94","Q9KT52","Q5E463",,"P43856",,"O25296",,,,,,,,,,,,,,,,,,,,
ARAA_ECOLI,,,"P06189",,,,,,,,,,,,,,,,,,,,,,,,,,,
ARAC_ECOLI,,,"P03022","16122482",,,,,,,,,,,,,,,,,,,,,,,,,,
ARAD_ECOLI,,,"P06190",,,,,,,,,,,,,,,,,,,,,,,,,,,
ARAE_ECOLI,,,"Q8ZMA0",,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCB_ECOLI,,,"Q8ZLR5","16123699","Q9KPJ8","Q5E2X9",,,,,,,,,,,,,,,,,,,,,,,,
ARCC_ECOLI,,,"Q8ZR72",,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCL_ECOLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"P95474"""
ARGB_ECOLI,,,,"Q8ZA87","Q9KNT7","Q5E2E6",,,,,,,"Q81M97",,,,,,,,,,,,,,,,,
ARGC_ECOLI,"Q9I5Q9",,"Q8ZKL8",,"Q9KNT6","Q5E2E5",,,,,,"P23715","Q81M95",,,,,"O67724","Q9X2A2",,"Q5YYF9","P54895",,,,,,,,
ARGD_ECOLI,"O30508",,"P40732","P59324","Q9KNW2",,,,,,,,,,,,,,,,,,,,,,,,,
ARGE_ECOLI,"Q9HTY4",,"Q8ZKL9","Q8ZA85","Q9KNT5",,,,,,,,,,,,,,,,,,,,,,,,,
ARGK_ECOLI,,,,,,,,,,,,,,,"Q9RVG9",,,,,"P63577","Q5YU28",,,,,,,,,
ARGO_ECOLI,,,"Q8ZM68","Q8ZHH6","Q9KUN4",,,,,"O25420",,,,,,,,,,,,,,,,,,,,
ARGR_ECOLI,,,,"Q8ZBA2",,,,"P45110",,,,,,,,,"Q9Z8Z1",,,,,,,,,,,,,
ARGT_ECOLI,,,"P02911",,,,,,,,,,,,,,,,,,,,,,,,,,,
ARLY_ECOLI,"P50987","Q9XAV6","Q8ZKL6","Q8ZA88","Q9KNT9",,,"P44314",,,,"O34858",,,"Q9RWJ0",,,"O67383",,,,,,,,,,,,
ARNA_ECOLI,"Q9HY63",,"O52325",,,,,,,,,,,,,,,,,,,"Q9RK07",,,,,,,,
ARNB_ECOLI,"Q9HY65",,"Q8ZNF3","Q93PE0",,,,,,,,,,,,,,,,,,,,,,,,,,
ARNT_ECOLI,,,"O52327","Q8ZDX9",,,,,,,,,,,,,,,,,,,,,,,,,,
AROA_ECOLI,,,"P07637",,"Q9KRB0","Q5E3Z0",,"Q03421",,,,,,,,,,,,,,,,,,,,,,
AROB_ECOLI,"P34002",,"P77980","Q8ZJF6","Q9KNV2","Q5E2G0",,"P43879",,,,,,,,,,,,,,,,,,,,,,
AROC_ECOLI,,,"P58729","Q8ZD41","Q9KQ85","Q5E3U6",,"P43875",,"P56122",,,,,,"O84373","Q9Z6M2",,,,,,,,,,"Q980I7","Q9YEL4",,
AROD_ECOLI,,,"P58687",,,,,,,,,"P35146",,,,,,,,,,,,,,,,,,
AROE_ECOLI,,,"Q8ZLN1",,,,,,,,,,,,,,,,,,,,,,,,,,,
AROF_ECOLI,"Q9I2Y7",,"96823;P0A1B5","16123441","Q9KU34","Q5E7E8",,,,,,,,,,,,,,,,,,,,,,,,
AROG_ECOLI,,,"Q8ZQT2","Q8D000",,,,"P44303",,,,,,,,,,,,,,,,,,,,,,
AROH_ECOLI,,,"Q8ZPS4",,"Q9L4Y8;Q9KRX6","Q5E5G0",,,,,,,,,,,,,,,,,,,,,,,,
AROK_ECOLI,"P34003",,,"Q8ZJF7","Q9KNV1",,,"P43880",,,,,,,,,,,,,,,,,,,,,,
AROL_ECOLI,,,"P63603",,,,,,,,,,,,,,,,,,,,,,,,,,,
AROM_ECOLI,,,"Q8ZRE8",,,,,,,,,,,,,,,,,,,,,,,,,,,
AROP_ECOLI,,,,"Q8D1B6;Q8D090;Q0WBM5",,,,,,,,,,,,,,,,,,,,,,,,,,
ARSR_ECOLI,,,"Q79VX6","16123496",,,,,,,,,,,,,,,,,,,,,,,,,,
ARTJ_ECOLI,,,,"Q8D033",,,,,,,,,,,,,,,,,,,,,,,,,,
ASCB_ECOLI,,,,,,,,,,,,"P40740",,,,,,,,,,,,,,,,,,
ASCG_ECOLI,,,"Q8ZMA3",,"Q9KRS9",,,,,,,,,,,,,,,,,,,,,,,,,
ASLA_ECOLI,,,,,,,,,,,,,,,,,,,,"O65931",,,,,,,,,,
ASMA_ECOLI,,,"Q8ZNQ7","Q74VA1","Q9KT66","Q5E400",,,,,,,,,,,,,,,,,,,,,,,,
ASNA_ECOLI,,,"Q8ZKW4","Q8ZJT3",,,,"P44338",,,,,"Q81S64","Q97NQ0",,,,,,,,,,"O83567",,,,,,
ASNB_ECOLI,,,"Q8ZQY0","Q7CJU5;16122836;NP_406149","Q9KTB2","Q5E6P7",,,,,,,,,,,,,,,,,,,,,,,,
ASPA_ECOLI,"Q9HTD7","P07346",,"16120683;Q8CWH9","Q9KNN3",,,"P44324",,"P56149",,,,,,,,,,,,,,,,,,,,
ASPG2_ECOLI,,,"Q8ZLD3","16121666",,"Q5E4M4",,"P43843",,"O25424",,"O34482",,,,,,,,,,,,,,,,,,
ASTB_ECOLI,"O50175",,"Q8ZPU9",,,"Q5DZ79",,,,,,,,,,,,,,,,,,,,,,,,
ASTC_ECOLI,,,"Q8ZPV2","Q8D0D7",,,,,,,,,,,,,,,,,,,,,,,,,,
ASTD_ECOLI,"O50174",,,"Q9ZC68",,,,,,,,,,,,,,,,,,,,,,,,,,
ASTE_ECOLI,"O50177",,"Q8ZPU8",,"Q9KSL4","Q5E5G3",,,,,,,,,,,,,,,,,,,,,,,,
ATDA_ECOLI,,,"Q8ZPJ3","Q7CJK0",,,,,,,,,"Q81XB7",,,,,,,,"Q5YW58",,,,,,,,,
ATKA_ECOLI,"P57683",,"Q8ZQW1","Q8D110",,,,,,,,,,,,,,,,"P65209","Q5YZH9","Q9X900",,,,,,,,
ATKB_ECOLI,"P57698",,"Q8ZQW2","Q8ZD97",,,,,,,,,,,,,,,,,,,,,,,,,,
ATKC_ECOLI,,,"Q8ZQW3","Q8ZD98",,,,,,,,,,,,,,,,,,,,,,,,,,
ATMA_ECOLI,,,"P36640",,,,,,,,,,,,,,,,,,,,,,,,,,,
ATOA_ECOLI,,,,,,,,"P44874",,,,,,,,,,,,,,,,,,,,,,
ATOB_ECOLI,"Q9I2A8",,,,,,,"P44873;1073810",,,,,,,,,,,,,,,,,,,,,,
ATOD_ECOLI,,,,,,,,"P44875",,,,"O34317","Q81QX0",,,,,,,,,,,,,,,,,
ATP6_ECOLI,,,"Q9RFL8","Q8Z9S1",,,,,,,,,,,,,,,,,,,,,,,,,,
ATPA_ECOLI,"Q9HT18",,,"Q8Z9S4","Q9KNH3",,,"P43714",,,,,,,,,,,,,,,,,,,,,,
ATPD_ECOLI,"Q9HT17",,"Q9RFL6","16124232","Q9KNH2",,,"P43717",,,,"P37811",,"P0A2Z4",,,,,"Q9X1U8",,,,,,,,,,,
ATPE_ECOLI,"Q9HT21",,,"P58647","Q9KNH6",,,"P43718",,,,,,,,,,"O66903",,,,,,,,,,,,
ATPF_ECOLI,"Q9HT16",,"Q9RFL7","16124233;Q7CFM4","Q9KNH1",,,"P43720",,,,,,,,,,,,,,,,,,,,,,
ATPG_ECOLI,,,"Q8ZKW8","Q8Z9S5",,,,"P43716",,,,,,,,,,,,,,,,,,,,,,
ATZN_ECOLI,,,"Q8ZLE5","Q8D1J3","O87034;Q9KT72",,,,,,,,,,,,,,,,,,,,,,,,,
AZOR_ECOLI,,,"P63462","Q8ZE60",,,,,,,,,,,,,,,,,,,,,,,,,,
BAES_ECOLI,,,"Q8ZNP9","Q74SA4",,,,,,,,,,,,,,,,,,,,,,,,,,
BASR_ECOLI,,,"P36556","Q8ZBB1","Q9KKK0",,,,,,,,,,,,,,,,,,,,,,,,,
BCCP_ECOLI,,,,"Q8D1P3","Q9KV61",,,"P43874",,,,"P49786","Q81M46",,"Q9RY33","O84125","Q9Z901","O67375",,,,,,,,,,,,
BCR_ECOLI,"Q9HWP5",,,,"Q9KRK6","Q5E6H0",,"P45123",,,,,,,,,,,,,,,,,,,,,,
BCSA_ECOLI,,,"Q93IN2;Q84I45",,,"Q5DZ42",,,,,,,,,,,,,,,,,,,,,,,,
BCSB_ECOLI,,,"Q84I44;Q93IN1",,,"Q5DZ43",,,,,,,,,,,,,,,,,,,,,,,,
BCSC_ECOLI,,"P58937","Q8ZLB8",,,"Q5DZ45",,,,,,,,,,,,,,,,,,,,,,,,
BETA_ECOLI,"Q9HTJ2",,,"Q8ZGW0",,,,,,,,,,,,,,,,,,,,,,,,,,
BETB_ECOLI,"Q9HTJ1",,,"Q8ZGV9",,,,,,,,,,,,,,,,,,,,,,,,,,
BETI_ECOLI,"Q9HTJ0",,,"Q8ZGV8",,,,,,,,,,,,,,,,,,,,,,,,,,
BGA2_ECOLI,,,,,,"Q5E0M9",,,,,,,,,,,,,,,,,,,,,,,,
BGAL_ECOLI,,,,"Q7CIZ3",,,,,,,,,,,,,,,,,,,,,,,,,,
BGLA_ECOLI,,,"Q8ZM78","Q8D020;16121541;NP_404854","Q9KRS8",,,,,,,"P42973",,"Q97SM7",,,,,,,,,,,,,,,,
BGLB_ECOLI,,,,,,,,,,,,,,,,,,,,,,"Q9F3I3",,,,,,,,
BGLG_ECOLI,,,,,,,,,,,,"P39805",,"Q97S39",,,,,,,,,,,,,,,,
BGLJ_ECOLI,"Q9HZU8",,"Q8ZJX1",,,,,,,,,,,,,,,,,,,,,,,,,,,
BGLR_ECOLI,,,,,,,,,,,,,,,,,,,"Q9X0F2",,,,,,,,"Q97UI1",,,
BGLX_ECOLI,"Q9I311",,"Q56078;BAA13102",,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOB_ECOLI,"Q9I618",,"P12678",,"Q9KSZ4",,,,,,,,,,,,,,,,,,,,,,,,,
BIOC_ECOLI,"Q9I615",,"Q8ZQQ6","Q7CH67",,"Q5DZI0",,,,,,,,,,,,,,,,,,,,,,,,
BIOD_ECOLI,,,"Q8ZQQ5","Q8ZGW9","Q9KSZ1","Q5DZI1",,,,,,,,,,,,,,,,,,,,,,,,
BIOF_ECOLI,"Q9I617",,"Q8ZQQ7","16121448","Q9KSZ3","Q5DZH9","A9IDE8",,,,,,,,,,,,,,,,,,,,,,,
BIOH_ECOLI,,,"Q8ZLI9","Q74Y45","Q9KNL4","Q5E8N3",,,,,,,,,,,,,,,,,,,,,,,,
BIRA_ECOLI,"Q9HWC0",,"P37416","16123896;Q7CKU2","Q9KV39","Q5E226",,"P46363",,,,,,,,,"Q9Z740",,,,,,,,,,,,,
BISC_ECOLI,,,"Q8ZLA2",,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLA_ECOLI,"Q9I584","Q9XAV4","Q7CR25","Q7CK31","Q9KPS0","Q5E6X7",,"P43780",,,,,,,,,,,,,,,,,,,,,,
BSSS_ECOLI,,,"Q8ZQ21",,,,,,,,,,,,,,,,,,,,,,,,,,,
BTUC_ECOLI,,,"Q8ZPS8","Q8ZDX4","Q9KSL2",,,,,,,,,,,,,,,,,,,,,,,,,
BTUD_ECOLI,,,,"Q8ZDX6","Q9KSL1",,,,,,,,,,,,,,,,,,,,,,,,,
BTUF_ECOLI,"Q9HWY3",,"Q8ZRP7",,"Q9KPI6",,,,,,,,,,,,,,,,,,,,,,,,,
C56H_ECOLI,,,"Q8ZPY4","Q8D0W2",,,,,,,,,,,,,,,,,,,,,,,,,,
C56I_ECOLI,"Q9I691",,"Q8ZQ22","NP_405853;Q8D0K3","Q9KM51",,,,,,,,,,,,,,,,,,,,,,,,,
CAAL_ECOLI,,,"Q8ZR41",,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN_ECOLI,"Q9HVB9",,"Q8ZRS0","Q8D1B2;16123556","Q9KUD6","Q5E2S7",,"P45148",,,,,,,,,,,,,,,,,,,,,,
CAPP_ECOLI,"Q9HXV3",,"Q8ZKM0","Q8ZA84","Q9KNT4","Q5E2E3",,"P43920",,,,,,,,,,,,,,,,,,,,,,
CARA_ECOLI,"P38098",,"P14845;79053","Q8ZIL5","Q9KPH8;Q30KG1;Q30KF5;Q30KF4","Q5E7M9",,,,"O25835",,,,,"Q9RWI4",,,"O66727","Q9WZ28",,,,,,,,,,,"Q8U086"""
CARB_ECOLI,"P38100",,"P14846","Q8ZIL4","Q9KPH9","Q5E7M8",,,,"O25577",,,,,"Q9RWK0",,,"O67233","Q9WZ27",,,,,,,,,,"Q9HP43",
CATE_ECOLI,"Q9I1W8",,"Q9L328",,,,,,,,,"P42234","Q81UM1;Q6I2V1",,"Q9RYQ0",,,,,,,,,,,,,,,
CBRC_ECOLI,"Q9I3H7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCA_ECOLI,"Q9I5V3",,"Q8ZLY4","Q8ZI64","Q9KPC6","Q5E2K7",,"P45269",,,,,,,,,,"O66728",,,,,,,,,,,,
CCMB_ECOLI,,,"Q8XF64","Q8D0V2","Q9KQE4","Q5E3S8",,"P45033",,,,,,,,,,,,,,,,,,,,,,
CCME_ECOLI,,,"Q8XG35","Q8ZD54","Q9KQE7","Q5E3T1",,"P45036",,,,,,,,,,,,,,,,,,,,,,
CCMF_ECOLI,,,"Q8XGT7","Q7CJB8","Q9KQE8","Q5E3T2",,"P45037",,,,,,,,,,,,,,,,,,,,,,
CDAR_ECOLI,,,"Q8ZRP6",,"Q9KL43",,,,,,,,,,,,,,,,,,,,,,,,,
CDD_ECOLI,,,"Q8ZNM0","Q8ZG08","Q9KSM5","Q5E4R6",,"P44325",,,,,,,,,,,,,,,,,,,,,,
CDH_ECOLI,,,"P26219","Q8ZA34",,,,,,"Q48248",,,,,,,,,,,,,,,,,,,,
CH10_ECOLI,"P30720",,,"Q8ZIY4","Q9KLC7","Q5E8E7",,,,,,,,,,,,,,,,,,,,,,,,
CHAA_ECOLI,,,"Q8ZP32",,,,,,,,,,,,,,,,,,,,,,,,,,,
CHBG_ECOLI,,,"Q8ZPU1",,"Q9KSH1","Q5E560",,,,,,,"P59744",,,,,,,,,,,,,,,,,
CHEA_ECOLI,"Q9I6V4",,"P09384","16121930","Q9KKK9",,,,,,,,,,,,,,,,,,,,,,,,,
CHEB_ECOLI,,,"P04042","Q8ZFM0",,,,,,,,,,,,,,,,,,,,,,,,,,
CHER_ECOLI,,,"P07801;2914405","Q8D0P3;16121940",,,,,,,,,,,,,,,,,,,,,,,,,,
CHEY_ECOLI,,,,"Q8D0P1",,,,,,,,,,,,,,,,,,,,,,,,,,
CHIA_ECOLI,,,,,,,,,,,,,,,,,,,,,,"Q9F3I2",,,,,,,,"126030289;Q8U1H5"""
CHO_ECOLI,,,"Q8ZPU6",,,,,,,,,,,,,,,,,,,,,,,,,,,
CHPA_ECOLI,,,,,,,,,,,,,,,"Q9RX98",,,,,,,,,,,,,,,
CHPR_ECOLI,,,,,,,,,,,,,,,"Q9RX99",,,,,,,,,,,,,,,
CILA_ECOLI,,,"Q8ZR12",,,,,"P44459",,,,,,,,,,,,,,,,,,,,,,
CINAL_ECOLI,,,"Q8ZNF7",,"Q9KSK4","Q5E5K3",,,,,,"P46323","Q81WQ3","P54184","O32508",,,,"Q9S5X1","P63775",,,,,,,,,,
CIRA_ECOLI,,,,,,,,"O86241",,,,,,,,,,,,,,,,,,,,,,
CITG_ECOLI,,,"Q8ZR14",,,,,,,,,,,,,,,,,,,,,,,,,,,
CITT_ECOLI,,,"Q8ZR15",,,,,,,,,,,,,,,,,,,,,,,,,,,
CLCB_ECOLI,,,"Q8ZPK5","Q8ZEB3",,,,,,,,,,,,,,,,,,,,,,,,,,
CLPA_ECOLI,"Q9I0L8",,"Q8ZQE3","16121648;Q8D041","Q9KSW2","Q5E3Y6",,,,"O24875",,,,,"Q9RWS7",,,,,,,,,"O83779",,,,,,
CLPB_ECOLI,"Q9HVN5",,,"Q74X11","Q9KU18","Q5E7D5",,"P44403",,,,,,,,,,,,,,,,,,,,,,
CLPP_ECOLI,,,"P0A1D7","Q8ZC65","Q9KQS6","Q5E6Q5","B5FBZ8","P43867",,,,,,,,,,,,,,,,,,,,,,
CLPS_ECOLI,"Q9I0L7",,,"Q8ZGD5","Q9KSW3",,,,,"P56066",,,,,,,,,,,,,,,,,,,,
CLPX_ECOLI,,,,,"Q9KQS7","Q5E6Q4",,,,,,,,,,,,,,,,,,,,,,,,
CLS_ECOLI,,,,"Q8ZEI2","Q9KRH2",,,,,,,,,,,,,,,,,,,,,,,,,
CMOA_ECOLI,"Q9I5G3",,,"Q7CIB7;16122289","Q9KSU2","Q5E6A3",,"P43985",,"O25150",,,,,,,,,,,,,,,,,,,,
CMOB_ECOLI,"Q9I5G4",,"Q8ZNV1","Q7CIB6","Q9KSU3","Q5E6A4",,"P44167",,"O25173",,,,,,,,,,,,,,,,,,,,
COABC_ECOLI,"Q9HTN4",,"Q8ZL47","Q8D1S1;16120401;Q74YA6","Q9KVD1","Q5E8M6",,"P44953",,,,,,,,,,,,,,,,,,,,,,
COAD_ECOLI,"Q9I6D1",,"Q8ZL48","Q8ZJN9","Q9KVC4",,,"P44805",,"O26010",,"O34797","Q81W43","Q97NQ2","Q9RWM4",,,"O66614","Q9WZK0","P0A530",,"Q9ZBR1","O51645","O83307",,,,,,
